Date	Aircraft ID	Aircraft Type	From	Route	To	Hobbs Out	Hobbs In	Out	In	Total Time	Night	PIC	Dual Rcvd	Solo	XC	Sim Inst	Actual Inst	Simulator	Ground	PIC/P1 Crew	Student	Instructor	Day T/O	Day Ldg	Night T/O	Night Ldg	Approach 1	Approach 2	Holds	Remarks	Flight Review	
2026-03-18	N616AD	PA-28-181	KPDK		KPDK					1.90		1.90																		"Hans KreukFundamentals- Great job on your fundamentals flight Hans! You flew the plane really well today and demonstrated you are in a great place at your fundaments. You were pretty ahead of the game in this area, so we moved into practicing some maneuvers. Overall, you did a great job here so keep up the good work!
- Steep Turns: Excellent job; very well flown, entirely within tolerances
- Slow flight: Good job maneuvering in slow flight! Watch out while entering the maneuver; we are supposed to stay within 100 feet of tolerances while entering slow flight
- Power On Stall: Great job! Make sure you are climbing away from the ground at Vx or Vy on recovery; in a real world scenario you want to ensure you are not just recovering from the stall, but using your energy on stall recovery to climb back up to a safe altitude
- Power Off Stall: Talked about how to clean this one up; for starters, try simply holding altitude instead of pitching up when trying to induce the stall. This is more reflective of a stall you would experience when coming in to land. Additionally, on recovery, full power after nose down, then flaps to 10 immediately. Flaps 0 only after positive rate indicated. After practicing this a few times great job!
- Engine Fire Scenario: Run checklist first! No need to immediately dive into a descent
- Emergency Descent: Well done! Flew this very nicely
- 
- All around great job on this flight! It was a pleasure flying with you!"		
2026-03-19	N563A	PA-28-181	KPDK		KPDK					1.90		1.90																		"Hans KreukManeuvers- When taxiing, make sure to have your feet on the rudders than on the breaks. If you need to slow down, then you can use the breaks.
- When switching tanks, always check if fuel pump is on. So verify its on and then you can switch the tanks. 
- 
- Steep turns: These were very good. Showed you what the sight picture should look like when doing this maneuver. 
- Slow flight: Make sure the bank is no more than 10 degrees bank. When recovering, slowly retract flaps. I want you to announce the recovery so its ""full power, slowly retracting flaps"".
- Power off stall: Nice job getting into the stall and inducing the stall to a full break but for the recovery we can work on that a little more. Recovery is, nose down, wings level, and full power, flaps 10 degrees, wait for the plane to speed up to 76 KIAS and then climb out at that airspeed and wait for a positive rate to bring flaps to 0 degrees.
- Power on stall: SAT
- S turns and turns around a point: Showed you how to set up the maneuvers. We want to be at 90 KIAS and 600-1000ft AGL. I like to choose 1000ft AGL because its easier to add that to field elevation. You want to start the maneuver with a tailwind so look at the PDK and it shows you what the wind direction is. With a tailwind, you would need a steep turn and a headwind a shallow turn. So keep an eye on the wind direction when turning."		
2026-03-20	N908A	PA-28-181	KPDK		KPDK					1.70		1.70																		"Hans KreukTOLs- Nice job today with the takeoff and landings. 
- When we takeoff, remember to use right rudder to maintain coordination and 76 KIAS.  
- No more than 20 degrees of bank, you don’t need to bank over that. 
- When hitting TPA, pitch, power, and trim. When you hit TPA, tell yourself those three things. 
- Keep and eye on airspeed, altitude, and XTK. This scan will help you maintain 90 KIAS, TPA, and 1.0nm on the downwind. 
- You did a good job doing the before landing checklist. When we are following traffic, make sure you add if flaps and descend when they pass our wing. If we aren’t following traffic, then we put flaps in when abeam our landing point. 
- Nice job with landing today. You looked down the runway and was able to see the plane sink and you applied back pressure (flare). Don’t keep flaring if you don’t see the plane sink because then you would get out of ground effect. 
- Keep up the good work! Let me know if you have any questions."		
2026-03-25	N458A	PA-28-181	KPDK		KPDK					2.00		2.00																		"Hans KreukTOLsGreat job on your TOLs flight Hans! You flew the plane well and demonstrated great proficiency during todays flight!
- Watch arm drift in flight; we were drifting off our desired course enroute largely due to cockpit distractions; sometimes when completing other tasks our arms or hands can inadvertently move causing us to drift off course
- Good job running the approach checklist and setting up for a pattern entry into KCNI
- Entered pattern nicely at airport
- Landings today were solid!
- Wind correction was a big thing we worked on; wind correction requires aileron inputs into the wind with opposing rudder to hold centerline
- Nice job making these corrections; I saw some steady improvement as the flight went on
- More flare was needed in some of your landings; its a challenge to flare while also making wind correction inputs, but its critical for smooth landings to be on the centerline of the runway; otherwise we will simply drift off the centerline while flaring 
- Good job going around when unstable!
- Balloons also should always result in a go around; this sometimes will happen if we come in too fast or round out too aggressively
- All around, great job as the flight went on! Keep up the good work as you keep practicing your landings!"		
2026-03-26	N908A	PA-28-181	KPDK		KPDK					2.00		2.00																		"Hans KreukTOLs- For the protected turn check, we check 4 things. Brick swinging opposite of turn, HSI and magnetic compass sliding with the turn and VSI is 0. 
- When we hit TPA, pitch, power, trim. Pitch the nose down to catch pattern altitude, bring rpms back to 2000, and trim so you are fighting the plane. 
- Make sure your instrument cross scan is a little faster and make corrections early so you don’t climb 200ft above TPA. We should be 90 KIAS, at TPA, and about 1.0nm XTK on the downwind.
- Landing:
- Be patient on the landing, if the plane is floating down the runway and not sinking, don’t flare yet. Wait for the plane to sink and then flare to stop the plane from sinking."		
2026-03-27	N458A	PA-28-181	KPDK		KPDK					1.90		1.90																		"Hans KreukTOLs- We went to CVC to work on tols. 
- To stay ahead of the plane, I like to do the approach checklist about 20 miles from the airport. Start putting in all the frequencies you need to prepare to enter the airspace. 
- Nice job figuring out how we are going to enter the traffic pattern. 
- When hitting TPA, don’t forget to take out power to 2000 rpms to maintain 90 KIAS.
- Take your time with the landing. What helps is talking yourself through the landing. Tell yourself to wait for the sink. If you don’t see the plane sink, that is not the indication to flare, just let the plane lose the airspeed in the ground effect and eventually the plane will sink. 
- Need more right rudder for landing and takeoff. Look at where the nose is situated and use rudder to line it back to the centerline. 
- When taxing, don’t taxi more than 15 KIAS on the ground speed. 
-"		
2026-03-30	N458A	PA-28-181	KPDK		KPDK					1.90		1.90																		"Hans KreukTOLs- Great job today! We stayed in the pattern to work on takeoff and landings.
- When turning you don't need more than 20 degrees of bank.
- Keep that cross scan moving a little faster. Look at the airspeed, altitude, and XTK. This will just help us maintain those a little better. 
- Showed how to do short approaches with no power. Doing this will help you understand how to use pitch and flaps to get down to the runway with no power. Make sure to pitch for best glide speed (76 KIAS) and wait about 100ft below TPA and slowly start turning toward the runway. 
- For the landings, all you need to do is hold the plane in ground effect and flare more. Once you see the plane sink, just add flare to stop the plane from sinking. Just take your time with the landing. Make small corrections when you are short final to maintain centerline.
- If the winds comes right to left, you need to use some right aileron to fight the winds and swing out the nose to line up with the centerline."		
2026-03-31	N724A	PA-28-181	KPDK		KPDK					0.60		0.60																		"Hans KreukTOLs- Discontinued flight after maintenance issue"		
2026-04-01	N908A	PA-28-181	KPDK		KPDK					1.90		1.90																		"Hans KreukTOLs- We stayed in the pattern at PDK to practice TOLs.
- Nice job flying the pattern correctly. For PDK we turn crosswind at 1600ft, 400 below TPA. For any other airport, you turn 300ft below TPA. This is just a PDK thing. Before turning, always double check if there’s any traffic that we are following. If we are following any traffic, make sure to turn when they are past our wing. This gives enough room between us and them and will maintain a good separation.
- On the downwind, once you see the wind diamond off the heading we will either veer closer or farther away from the runway. Just keep the instrument cross scan moving so you don’t get off course or get too high or low on altitude.
- When turning final and there’s parallel traffic on final as well, turn final around 0.4nm XTK. By doing this, it can let the parallel traffic and ATC know that you won’t overshoot final and get in the path of the jets coming in to land. 
- Landings: Bring power to idle over the aiming point and this will help you get into ground effect. Look at the end of the runway and watch the plane sink. Once you see the plane sink, apply the flare to stop the plane from sinking, but don’t keep flaring if you see it not sinking. Doing that will make the plane get back of ground effect. Just be patient with the flare, keep talking to yourself throughout the landing as well."		
2026-04-02	N458A	PA-28-181	KPDK		KPDK					2.20		2.20																		"Hans KreukTOLs- Stayed in the pattern and did touch and goes and did one full stop taxi back. When doing the full stop taxi back, bring out the pattern work checklist that’s on the back of the emergency checklist. 
- When turning onto taxiway B, make sure to complete the first protected turn instrument check. Brick swinging opposite turn, HSI and magnetic compass swinging with the turn, VSI is 0.
- Great job today scanning for traffic and making sure to turn once traffic ahead of us is behind our wing. By always keeping an eye for traffic, your situational awareness skills will improve.
- Landings:
- 1-5) Be patient with the flare. Tell yourself, hold it, flare, hold it, flare. Use more right rudder in the landing. When you look at the end of the runway, you can see where the nose is position from the centerline. The nose was point left off centerline, so you needed a little right rudder to swing it straight.
- 6-17) These were good just get in ground effect a little higher, and bring power to idle when over your aiming point. Keep using aileron and rudder in the ground effect and flare to maintain centerline.
- Keep up the good work. We will do one more flight before your evaluation and you should be good to go!"		
